COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
HOT WHEELS VELOCITY X,2,1,0,1,HOT WHEELS,HOT WHEELS,THQ ,BEYOND GAMES,RACING,COMBAT ORIENTED RACING,01-Nov-02,2002,11,E,NO,No,Yes,Non violent
HOT WHEELS: STUNT TRACK CHALLENG,2,0,1,1,HOT WHEELS,HOT WHEELS,THQ ,CLIMAX GROUP,RACING,ACTION ORIENTED RACING,01-Nov-04,2004,11,E,NO,No,Yes,Non violent
HOT WHEELS: WORLD RACE,2,1,0,1,HOT WHEELS,HOT WHEELS,THQ ,CLIMAX GROUP,RACING,ACTION ORIENTED RACING,01-Oct-03,2003,10,E,NO,No,Yes,Non violent
HOUSE OF THE DEAD III,1,0,1,0,HOUSE OF THE DEAD,,SEGA OF AMERICA,WOW ENTERTAINMENT,SHOOTER,OTHER SHOOTER,01-Oct-02,2002,10,M,NO,No,No,Violent
HULK,3,1,1,1,HULK,HULK,VIVENDI UNIVERSAL ,RADICAL ENTERTAINMENT,ACTION,GENERAL ACTION,01-May-03,2003,5,T,NO,Vivendi,Yes,Violent
HUNTER: REDEEMER,1,0,1,0,HUNTER THE RECKONING,,VIVENDI UNIVERSAL ,HIGH VOLTAGE SOFTWARE,ACTION,GENERAL ACTION,01-Oct-03,2003,10,M,YES,Vivendi,Yes,Violent
HUNTER: THE RECKONING,2,1,1,0,HUNTER THE RECKONING,,INTERPLAY PRODUCTIONS,HIGH VOLTAGE SOFTWARE,ACTION,GENERAL ACTION,01-May-02,2002,5,M,NO,No,No,Violent
HUNTER: WAYWARD,1,0,0,1,HUNTER THE RECKONING,,VIVENDI UNIVERSAL ,HIGH VOLTAGE SOFTWARE,ACTION,GENERAL ACTION,01-Sep-03,2003,9,M,NO,Vivendi,Yes,Violent
HYPERSONIC XTREME,1,0,0,1,,,MAJESCO,BLADE INTERACTIVE STUDIOS,RACING,ACTION ORIENTED RACING,01-Jan-03,2003,1,E,NO,No,No,Non violent
ICO,1,0,0,1,,,SONY ,SONY COMPUTER ENTERTAINMENT,ADVENTURE,GENERAL ADVENTURE,01-Sep-01,2001,9,T,NO,No,Yes,Non violent
IHRA DRAG RACING 2,1,0,0,1,IHRA DRAG RACING,,BETHESDA SOFTWORKS,BETHESDA SOFTWORKS,RACING,SPORTS ORIENTED RACING,01-Dec-02,2002,12,E,NO,No,No,Non violent
IHRA DRAG RACING 2004,1,0,1,0,IHRA DRAG RACING,PRO RACING ALL OTHER,BETHESDA SOFTWORKS,BETHESDA SOFTWORKS,RACING,SPORTS ORIENTED RACING,01-Dec-03,2003,12,E,YES,No,No,Non violent
IHRA PROFESSIONAL DRAG RACING 20,2,0,1,1,IHRA DRAG RACING,,BETHESDA SOFTWORKS,BETHESDA SOFTWORKS,RACING,SPORTS ORIENTED RACING,01-Nov-04,2004,11,E,NO,No,No,Non violent
